fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
879867,1657904400,1994,Khimki,1,1,596,Zenit Saint Petersburg
879868,1657972800,555,CSKA Moscow,2,0,1084,Ural
879869,1657981800,1080,Orenburg,2,4,1079,Krylya Sovetov
879870,1657990800,1085,Akhmat Grozny,1,1,558,Spartak Moscow
879871,1658059200,3985,Torpedo Moskva,1,3,2012,PFC Sochi
879872,1658068200,597,Lokomotiv Moscow,1,1,2011,Nizhny Novgorod
879873,1658077200,621,Krasnodar,2,2,1993,Fakel Voronezh
879874,1658077200,1088,Dinamo Moscow,1,1,779,FC Rostov
879875,1658509200,596,Zenit Saint Petersburg,3,0,1079,Krylya Sovetov
879876,1658577600,555,CSKA Moscow,3,0,2012,PFC Sochi
879877,1658586600,1080,Orenburg,3,0,1084,Ural
879878,1658595600,621,Krasnodar,1,4,558,Spartak Moscow
879879,1658664000,1994,Khimki,3,0,2011,Nizhny Novgorod
879880,1658673000,1088,Dinamo Moscow,4,0,3985,Torpedo Moskva
879881,1658682000,597,Lokomotiv Moscow,2,2,779,FC Rostov
879882,1658682000,1085,Akhmat Grozny,2,1,1993,Fakel Voronezh
879883,1659106800,1084,Ural,1,3,621,Krasnodar
879884,1659182400,1993,Fakel Voronezh,3,3,1088,Dinamo Moscow
879885,1659191400,596,Zenit Saint Petersburg,5,0,597,Lokomotiv Moscow
879886,1659200400,2012,PFC Sochi,2,1,1085,Akhmat Grozny
879887,1659268800,2011,Nizhny Novgorod,2,2,555,CSKA Moscow
879888,1659277800,558,Spartak Moscow,4,1,1080,Orenburg
879889,1659277800,1079,Krylya Sovetov,1,1,3985,Torpedo Moskva
879890,1659286800,779,FC Rostov,1,0,1994,Khimki
879891,1659787200,1084,Ural,0,2,558,Spartak Moscow
879892,1659796200,555,CSKA Moscow,4,1,1993,Fakel Voronezh
879893,1659805200,621,Krasnodar,3,0,597,Lokomotiv Moscow
879894,1659805200,1085,Akhmat Grozny,0,0,596,Zenit Saint Petersburg
879895,1659873600,3985,Torpedo Moskva,1,3,1994,Khimki
879896,1659882600,1079,Krylya Sovetov,0,2,1088,Dinamo Moscow
879897,1659891600,779,FC Rostov,2,1,1080,Orenburg
879898,1659891600,2012,PFC Sochi,2,1,2011,Nizhny Novgorod
879899,1660321800,1993,Fakel Voronezh,0,0,1084,Ural
879900,1660392000,597,Lokomotiv Moscow,1,1,1079,Krylya Sovetov
879901,1660399200,596,Zenit Saint Petersburg,2,1,555,CSKA Moscow
879902,1660410000,1088,Dinamo Moscow,0,0,621,Krasnodar
879903,1660478400,1994,Khimki,1,3,1085,Akhmat Grozny
879904,1660487400,1080,Orenburg,1,0,3985,Torpedo Moskva
879905,1660487400,2011,Nizhny Novgorod,3,4,779,FC Rostov
879906,1660496400,558,Spartak Moscow,3,0,2012,PFC Sochi
879907,1661092200,596,Zenit Saint Petersburg,2,0,3985,Torpedo Moskva
879908,1661014800,779,FC Rostov,2,2,2012,PFC Sochi
879909,1661101200,621,Krasnodar,2,0,1080,Orenburg
879910,1660924800,1079,Krylya Sovetov,1,1,1993,Fakel Voronezh
879911,1661083200,555,CSKA Moscow,4,2,1085,Akhmat Grozny
879912,1661005800,1088,Dinamo Moscow,1,0,558,Spartak Moscow
879913,1660989600,1084,Ural,0,1,2011,Nizhny Novgorod
879914,1660996800,1994,Khimki,0,3,597,Lokomotiv Moscow
879915,1661705100,779,FC Rostov,0,0,555,CSKA Moscow
879916,1661688000,597,Lokomotiv Moscow,5,1,1080,Orenburg
879917,1661619600,1085,Akhmat Grozny,1,2,1079,Krylya Sovetov
879918,1661533200,2012,PFC Sochi,4,1,1994,Khimki
879919,1661697000,3985,Torpedo Moskva,1,4,621,Krasnodar
879920,1661601600,2011,Nizhny Novgorod,2,2,1088,Dinamo Moscow
879921,1661610600,1993,Fakel Voronezh,1,4,558,Spartak Moscow
879922,1661680800,1084,Ural,0,4,596,Zenit Saint Petersburg
879923,1662310800,558,Spartak Moscow,1,2,596,Zenit Saint Petersburg
879924,1662219000,621,Krasnodar,2,1,2012,PFC Sochi
879925,1662292800,1079,Krylya Sovetov,0,1,555,CSKA Moscow
879926,1662226200,1088,Dinamo Moscow,2,1,1084,Ural
879927,1662301800,597,Lokomotiv Moscow,1,2,1085,Akhmat Grozny
879928,1662397200,3985,Torpedo Moskva,0,1,779,FC Rostov
879929,1662199200,1080,Orenburg,3,1,1994,Khimki
879930,1662206400,2011,Nizhny Novgorod,3,1,1993,Fakel Voronezh
879931,1662906600,596,Zenit Saint Petersburg,8,0,1080,Orenburg
879932,1662914700,779,FC Rostov,4,2,558,Spartak Moscow
879933,1662820200,555,CSKA Moscow,4,1,621,Krasnodar
879934,1662828300,1085,Akhmat Grozny,1,3,2011,Nizhny Novgorod
879935,1662742800,2012,PFC Sochi,2,1,1088,Dinamo Moscow
879936,1662897600,1993,Fakel Voronezh,2,0,597,Lokomotiv Moscow
879937,1662890400,1084,Ural,2,0,3985,Torpedo Moskva
879938,1662811200,1994,Khimki,0,0,1079,Krylya Sovetov
879939,1663516800,558,Spartak Moscow,1,0,597,Lokomotiv Moscow
879940,1663421400,779,FC Rostov,2,1,1079,Krylya Sovetov
879941,1663507800,621,Krasnodar,3,1,1994,Khimki
879942,1663430400,1088,Dinamo Moscow,0,2,596,Zenit Saint Petersburg
879943,1663507800,2012,PFC Sochi,1,1,1993,Fakel Voronezh
879944,1663412400,3985,Torpedo Moskva,1,0,555,CSKA Moscow
879945,1663498800,2011,Nizhny Novgorod,0,2,1080,Orenburg
879946,1663405200,1084,Ural,1,2,1085,Akhmat Grozny
879947,1664717400,596,Zenit Saint Petersburg,3,1,779,FC Rostov
879948,1664812800,1079,Krylya Sovetov,0,0,621,Krasnodar
879949,1664640000,597,Lokomotiv Moscow,2,4,1084,Ural
879950,1664726400,1085,Akhmat Grozny,2,1,1088,Dinamo Moscow
879951,1664622000,1080,Orenburg,4,1,2012,PFC Sochi
879952,1664726400,2011,Nizhny Novgorod,1,2,558,Spartak Moscow
879953,1664708400,1993,Fakel Voronezh,2,2,3985,Torpedo Moskva
879954,1664631000,1994,Khimki,1,2,555,CSKA Moscow
879955,1665313200,558,Spartak Moscow,5,2,1079,Krylya Sovetov
879956,1665331200,779,FC Rostov,3,2,621,Krasnodar
879957,1665235800,555,CSKA Moscow,1,1,1088,Dinamo Moscow
879958,1665244800,2012,PFC Sochi,4,0,597,Lokomotiv Moscow
879959,1665322200,3985,Torpedo Moskva,0,0,2011,Nizhny Novgorod
879960,1665322200,1080,Orenburg,2,1,1085,Akhmat Grozny
879961,1665226800,1993,Fakel Voronezh,1,1,596,Zenit Saint Petersburg
879962,1665153000,1084,Ural,2,1,1994,Khimki
879963,1665765000,779,FC Rostov,1,2,1084,Ural
879964,1665840600,621,Krasnodar,2,3,1085,Akhmat Grozny
879965,1665918000,1079,Krylya Sovetov,2,0,2012,PFC Sochi
879966,1665939600,555,CSKA Moscow,2,2,558,Spartak Moscow
879967,1665851400,1088,Dinamo Moscow,3,2,1080,Orenburg
879968,1665831600,3985,Torpedo Moskva,0,1,597,Lokomotiv Moscow
879969,1665927000,2011,Nizhny Novgorod,0,3,596,Zenit Saint Petersburg
879970,1665831600,1994,Khimki,0,0,1993,Fakel Voronezh
879971,1666630800,596,Zenit Saint Petersburg,7,0,2012,PFC Sochi
879972,1666531800,558,Spartak Moscow,5,0,1994,Khimki
879973,1666454400,597,Lokomotiv Moscow,1,3,1088,Dinamo Moscow
879974,1666540800,1085,Akhmat Grozny,1,0,3985,Torpedo Moskva
879975,1666522800,1080,Orenburg,2,2,555,CSKA Moscow
879976,1666436400,2011,Nizhny Novgorod,0,2,621,Krasnodar
879977,1666445400,1993,Fakel Voronezh,1,1,779,FC Rostov
879978,1666621800,1084,Ural,2,1,1079,Krylya Sovetov
879979,1667136600,558,Spartak Moscow,1,0,3985,Torpedo Moskva
879980,1667147400,621,Krasnodar,0,1,596,Zenit Saint Petersburg
879981,1667127600,1079,Krylya Sovetov,2,1,2011,Nizhny Novgorod
879982,1667041200,1088,Dinamo Moscow,6,1,1994,Khimki
879983,1667059200,597,Lokomotiv Moscow,0,1,555,CSKA Moscow
879984,1667050200,1085,Akhmat Grozny,1,2,779,FC Rostov
879985,1667127600,2012,PFC Sochi,2,2,1084,Ural
879986,1666965600,1080,Orenburg,4,1,1993,Fakel Voronezh
879987,1667655000,596,Zenit Saint Petersburg,1,2,1085,Akhmat Grozny
879988,1667750400,779,FC Rostov,2,1,1088,Dinamo Moscow
879989,1667664000,555,CSKA Moscow,0,1,2011,Nizhny Novgorod
879990,1667646000,2012,PFC Sochi,1,1,558,Spartak Moscow
879991,1667741400,3985,Torpedo Moskva,0,2,1079,Krylya Sovetov
